"","Domain","Direct_Head_Count","EBP_Head_Count","HT_Head_Count_CV","DesignEffect_CV","EBP_Head_Count_CV"
"1","10001",0.643654062583831,0.59328836591884,0.197989130611566,0.110681546431384,0.0728250258938214
"2","10002",0.44995976664655,0.566107963995498,0.32881302768252,0.254688568096745,0.100392299419799
"3","10003",0.421001136692226,0.512493287496951,0.36670994321852,0.283082715077706,0.101725101136229
"4","10004",0.721342803576215,0.626111430814993,0.18779625378431,0.0910997178285671,0.0785139701626471
"5","10005",0.646097275899431,0.575251518272921,0.223524959193995,0.11410924973654,0.0902934968365353
"6","10006",0.730832225964956,0.574498083549148,0.352144056493205,0.168239622547317,0.0964602463389316
"7","1001",0.754554357504275,0.679051685219159,0.119087011292875,0.0631832571122986,0.0424770085837681
"8","1002",0.646807457191676,0.53197219322798,0.176599313607581,0.104562693922597,0.0873682389107075
"9","1003",0.751847236882833,0.607928936378972,0.158262570597892,0.0720151759852607,0.0684426905340941
"10","1004",0.869609488431731,0.759368250517125,0.124178089753397,0.0320903880364704,0.0436551830413861
"11","1005",0.814197458911295,0.685680892089367,0.164586435309799,0.0602834461310158,0.0551964106301963
"12","11001",0.847817903177731,0.77355998627294,0.148501315619859,0.0644063746941044,0.047973340545146
"13","11002",0.652439810636064,0.65916748666418,0.206739706638167,0.121349353136532,0.061030534418974
"14","11003",0.897330859263488,0.774377466764061,0.167721279077814,0.0415335629668858,0.0524695074829779
"15","11004",0.783774476895068,0.692661516462099,0.137766290693772,0.0520516112111066,0.0530776187209317
"16","11005",0.841108122030794,0.731822880500878,0.206166104304945,0.0604791067593806,0.0648316952287794
"17","12001",0.760445146216794,0.707163209203663,0.145416817338421,0.0611340094443415,0.0506945701633594
"18","12002",0.683267671640857,0.664523497950752,0.142907193324139,0.0760095689020662,0.0524580290246861
"19","12003",0.809180980831466,0.728170583215387,0.127314311238771,0.0469374200684981,0.0476930271875465
"20","12004",0.801714155918574,0.701317158123469,0.171808067627501,0.061245777156422,0.0573733045564355
"21","12005",0.833333333333333,0.631574688358977,0.372373069194572,0.181050424467047,0.0987914873608899
"22","12006",0.476569479412004,0.632113279478046,0.381516380770506,0.248042228611102,0.0792575213300198
"23","13001",0.727944197168494,0.591446203869821,0.231083772262973,0.0967943554882563,0.0856287529475815
"24","13002",0.274082870286955,0.527078779385647,0.336070042198946,0.310463173371351,0.0845008575882899
"25","13003",0.580822118518518,0.547097245393746,0.222052974376659,0.134611735116439,0.0891077023888248
"26","13004",0.721233385719333,0.61430389033872,0.170836968364137,0.0696679610375383,0.0742840986045161
"27","13005",0.805731938809692,0.677460545975673,0.153432682051685,0.0593100307010261,0.0567294989006069
"28","13006",0.614192495921697,0.59337520822902,0.227109615340201,0.118097608921525,0.0760433791370419
"29","14001",0.652784441082039,0.682745415713293,0.203408051300346,0.106118146009423,0.06042287295345
"30","14002",0.765339192529525,0.688451057031359,0.199431562884278,0.0924217819837572,0.0586502649202033
"31","14003",0.758900310001631,0.736295713398991,0.176439377001583,0.0763888358719785,0.0482275141243149
"32","14004",0.757413804340742,0.724321082653186,0.189874983087733,0.0974395639581885,0.0460366994777847
"33","14005",0.800326718029095,0.712521963173008,0.213233184433902,0.0891292202660631,0.0679140202138415
"34","14006",0.520330838527233,0.486374595037788,0.200777320190356,0.139348332799987,0.0752457879922404
"35","14007",0.669984529068575,0.696581809311399,0.238623332761081,0.137195414148578,0.0589992446151687
"36","14008",0.610675251342455,0.625652335343371,0.217848356683016,0.130232397358028,0.0627444029298123
"37","14009",0.67191429972031,0.669369636674431,0.196810367229296,0.108857536789427,0.064885599639168
"38","15001",0.834139862596955,0.785766625247461,0.245344443752368,0.0763742113843371,0.0630783585886441
"39","15002",0.887536554797382,0.826040799544537,0.154685704545003,0.0346123261834816,0.0339644288538383
"40","15003",0.80444745115993,0.764020939659266,0.220850318410778,0.0870213873327552,0.05940620148085
"41","15004",0.827304499781564,0.782116726478311,0.198182677482378,0.0750653029100599,0.0483764405870232
"42","15005",0.919007200419627,0.803146172299971,0.190613232428586,0.0384299852501155,0.0509122225756675
"43","15006",0.748872559656109,0.701807228411894,0.23141651532205,0.0829939112386739,0.0664090421134097
"44","16001",0.828921461387005,0.777010793386627,0.221128248959085,0.0621375063488612,0.0488513060982496
"45","16002",0.92570090952951,0.769018789879062,0.224543799920396,0.0555258306472824,0.0554191143335284
"46","16003",0.914519144784977,0.768995104528697,0.29154416268218,0.0697575278858807,0.059672372541917
"47","16004",0.884025084116746,0.815178299980937,0.186229461138034,0.0596061071566092,0.046773821566741
"48","16005",0.844227500235325,0.792811245811924,0.208341001749431,0.0561999749717028,0.0510359443142973
"49","16006",0.634831826166157,0.743140076971978,0.22989831091185,0.153725761138764,0.0494592517934617
"50","16007",0.751968296568984,0.683815797164092,0.250139404722742,0.125918057814844,0.0686729723097324
"51","17014",0.23449728035476,0.160629596879277,0.189753643496462,0.167129619869557,0.155318864244187
"52","17015",0.148204303989212,0.118848458287587,0.283772250404369,0.272796954664751,0.171345868856589
"53","17016",0.153520340053091,0.137251458611137,0.147860894886754,0.144149773412421,0.106211408679788
"54","18001",0.718785897098193,0.652788192388315,0.183896473274893,0.0900378771884224,0.0651611268486828
"55","18002",0.56385537298652,0.617029687665449,0.257837258947113,0.165356905658395,0.0756282944576347
"56","18003",0.718666847066252,0.633660267730458,0.185839359268024,0.0704491563344051,0.0607059991771345
"57","18004",0.613602103418054,0.612563426707046,0.200513377436558,0.119404132051638,0.0617968055895559
"58","18005",0.618998613402328,0.55908697570037,0.140177117761849,0.0763717056295374,0.0658743467166645
"59","2002",0.69153953227038,0.613563790940331,0.156342009187848,0.0707623417896606,0.0537847051482233
"60","2003",0.713401829132279,0.649746872929917,0.210376087171758,0.114900466366887,0.0608680591446358
"61","2004",0.575492946692183,0.579175228693138,0.182597696556503,0.117909427369693,0.0696071224319932
"62","2005",0.78263587428373,0.688148019523544,0.201569741477642,0.0766868630494633,0.0595316174303442
"63","2006",0.589318227796885,0.563174873129184,0.313387022847918,0.190156014649114,0.0908493746316561
"64","2008",0.607261889501346,0.556685910554606,0.285234810300383,0.179399038427219,0.0805477266083025
"65","2009",0.745587917497059,0.701840549037272,0.188904405958141,0.102141638054986,0.058452974903592
"66","2010",0.567137979847095,0.428061787445213,0.198720714854921,0.125923721803926,0.0981203425156644
"67","2012",0.762708596645316,0.66935554107072,0.199471066549279,0.0870391416402458,0.065605176117715
"68","3002",0.674525664994503,0.529481095064457,0.181456706407064,0.0976012335221281,0.072713281580073
"69","3004",0.480546824029862,0.54617094290908,0.313271644498348,0.242822803766887,0.103483724665522
"70","3005",0.672485089916544,0.621749115489118,0.218545547441846,0.118724184983351,0.0744702227628766
"71","3007",0.742022580093209,0.614976429489423,0.254178131129062,0.115440865989367,0.0860409893650914
"72","3008",0.460188163602136,0.543919112492129,0.306915524560942,0.232924872131053,0.0936912524002024
"73","3009",0.239292939342686,0.546109575345674,0.555439486197859,0.376593513878824,0.0998698626399249
"74","4001",0.652186439224222,0.6349013915747,0.180795231335416,0.0976680232028243,0.0493356691963625
"75","4002",0.818653193295141,0.718238606937553,0.209163226287958,0.0745919342916798,0.0669985941572097
"76","4003",0.620531560904877,0.689300359419514,0.197783444032248,0.114787017750654,0.0532768087571192
"77","4004",0.551239660342953,0.657951899563196,0.213250141019367,0.14325034929414,0.0594608245917188
"78","4005",0.658724331676856,0.66894434685297,0.174124251993987,0.0936110554529965,0.0622632867440256
"79","5001",0.690650921001885,0.578819213692507,0.132999746315723,0.0731365652083882,0.0670126260147167
"80","5002",0.773153056971328,0.766037381482543,0.13700736667884,0.0561797065002843,0.0356793632405762
"81","5003",0.577991027173969,0.642410910402983,0.190651397264858,0.113575635197962,0.055701818114668
"82","5004",0.687253201741302,0.718652922697238,0.124459893642357,0.064276774593892,0.0393095390900365
"83","5005",0.805979866176382,0.78278539476812,0.120368123623583,0.0491588113627487,0.035288940952426
"84","5006",0.470303832090186,0.497989249578055,0.189810511468376,0.147654754449147,0.0835344776933602
"85","6001",0.715637523640604,0.636816851968386,0.135352939628663,0.0616832555501223,0.0563286103451901
"86","6002",0.479845671231215,0.539703779187555,0.26992873478008,0.190442521838811,0.0977045984746406
"87","6003",0.69602855339959,0.557559884228075,0.193082321116688,0.097516653133275,0.0814990847117303
"88","6004",0.591331717376361,0.584852408143906,0.173173396499248,0.117064358294692,0.0716613381066827
"89","6005",0.576881374106275,0.514447896803929,0.210944823401216,0.14502381108685,0.0901253746512049
"90","6006",0.466270384067564,0.457067668899347,0.131587300396135,0.115137562939464,0.0748746541770701
"91","6007",0.627523021988348,0.630133047123125,0.21570936450834,0.121350144789245,0.0772734800686062
"92","6008",0.614426141740127,0.574705136642657,0.293931915185086,0.159239750674853,0.082387430994406
"93","6009",0.565301797356543,0.547159944163081,0.179932654716967,0.093960300595505,0.0887544779615595
"94","6010",0.740543012755839,0.565684313886737,0.246204704289817,0.108238811350329,0.103650764881935
"95","6011",0.679081280221045,0.574998497626441,0.267664396142815,0.111775450707277,0.0851368811997148
"96","7001",0.783195392373901,0.74301011208402,0.162663580564764,0.0751657289275207,0.0434802489192843
"97","7002",0.753926658353495,0.708844440047291,0.155834249744436,0.0639991189184797,0.0496606648018592
"98","7003",0.727438751918556,0.768755004397285,0.187780514043016,0.0936957331254212,0.0480495006791678
"99","7004",0.784528967336794,0.77282619831094,0.177412555675544,0.0686772591851015,0.0412667441378572
"100","7005",0.776833122122588,0.772087109212358,0.200218228561977,0.100223066097232,0.0424137716937321
"101","7006",0.743539949270767,0.724787914209634,0.245916461329763,0.0987026362047309,0.0572345122513098
"102","7007",0.824702917473054,0.754880823031143,0.193904108525876,0.0717625188137135,0.0507624614001059
"103","8001",0.350387356294823,0.53098801545417,0.348583914057407,0.302996706452515,0.0960157613150963
"104","8002",0.618241320432555,0.575486272107338,0.322045082045472,0.181239288824551,0.110097386174435
"105","8003",0.695962761544843,0.63400739883394,0.214851807571847,0.0962017266318697,0.0790860990363678
"106","8004",0.719076368422559,0.664770699254193,0.223595909146864,0.120423364385325,0.0746570640228721
"107","8005",0.569460522151231,0.500431922124719,0.180238563617166,0.118026818202376,0.0889991688795258
"108","8006",0.729956914758807,0.617390975228434,0.251783451774557,0.105968938963183,0.0849209308525415
"109","8007",0.517286778839824,0.543556485419099,0.265072033096977,0.187597650701136,0.0982522824919085
"110","8008",0.542138626208043,0.565810269396167,0.241692840973638,0.17603444060356,0.0785677147100118
"111","8009",0.603640836052151,0.55044223373799,0.254107452053715,0.159606447713155,0.0867456773030814
"112","9001",0.913760072124866,0.760164085919932,0.190057812126797,0.0326521854309278,0.0530721915927023
"113","9002",0.663344746959042,0.65489677641274,0.153959661702764,0.0867403088534452,0.0594500188828261
"114","9003",0.71334183050531,0.641055214786563,0.221470274114169,0.105902939381002,0.0597401921742308
"115","9004",0.630355544541259,0.692103120883671,0.218081067816114,0.138041780493015,0.0663487799830317
"116","9005",0.701562196068071,0.669364570269397,0.176469888409251,0.0805073504726574,0.0509986449330874
"117","9006",0.904440868568046,0.807498065542675,0.138821723478703,0.0373974365459928,0.0428226597042631
"118","9007",0.890191957667986,0.76480227033809,0.184202505637854,0.0524094035656936,0.0540458532160695
